protocol,backbone,model_base,model_abs,model_norm,seed,mAP_base_pp,mAP_abs_pp,mAP_norm_pp,d_abs_pp,d_norm_pp,d_abs_vs_norm_pp,base_path,abs_path,norm_path,norm_params,norm_gate,abs_gate,norm_rtype,norm_config_sha
ias_a,gru,gru,isrgru,isrgru_norm,123,24.1655,23.7784,23.36,-0.3871,-0.8054,0.4184,transg_official_ias_confirm_20260808/ias_a/gru/seed123/result.json,isrgru_pos_fix_20260808/ias_a/isrgru/seed123/result.json,results/ias_a/isrgru_norm/seed123/result.json,231041,0.19592523574829102,0.198465034365654,normalized,2ab88ec4ca87f5663f07fe58480d622a4798850f4011fe817740e3004c235cda
ias_a,gru,gru,isrgru,isrgru_norm,2026,23.5315,23.7399,23.615,0.2084,0.0835,0.1249,transg_official_ias_confirm_20260808/ias_a/gru/seed2026/result.json,isrgru_pos_fix_20260808/ias_a/isrgru/seed2026/result.json,results/ias_a/isrgru_norm/seed2026/result.json,231041,0.19240480661392212,0.19546428322792053,normalized,2ab88ec4ca87f5663f07fe58480d622a4798850f4011fe817740e3004c235cda
ias_a,transformer,transformer,isr_transformer,isr_transformer_norm,42,27.392,28.7,27.9285,1.308,0.5365,0.7715,isr_transfer_pilot_20260805/ias_a_transformer_42/result.json,isr_transfer_pilot_20260805/ias_a_isr_transformer_42/result.json,results/ias_a/isr_transformer_norm/seed42/result.json,298113,0.18501430749893188,0.18908023834228516,normalized,2ab88ec4ca87f5663f07fe58480d622a4798850f4011fe817740e3004c235cda
ias_a,transformer,transformer,isr_transformer,isr_transformer_norm,123,29.7117,28.8627,28.6088,-0.849,-1.1029,0.2539,isr_transfer_pilot_20260805/ias_a_transformer_123/result.json,isr_transfer_pilot_20260805/ias_a_isr_transformer_123/result.json,results/ias_a/isr_transformer_norm/seed123/result.json,298113,0.19416645169258118,0.1910741776227951,normalized,2ab88ec4ca87f5663f07fe58480d622a4798850f4011fe817740e3004c235cda
ias_a,transformer,transformer,isr_transformer,isr_transformer_norm,2026,27.3572,28.1775,27.7712,0.8203,0.414,0.4063,isr_transfer_pilot_20260805/ias_a_transformer_2026/result.json,isr_transfer_pilot_20260805/ias_a_isr_transformer_2026/result.json,results/ias_a/isr_transformer_norm/seed2026/result.json,298113,0.1885853409767151,0.1922263652086258,normalized,2ab88ec4ca87f5663f07fe58480d622a4798850f4011fe817740e3004c235cda
ias_b,gru,gru,isrgru,isrgru_norm,42,22.3858,23.0953,22.8581,0.7096,0.4724,0.2372,transg_official_ias_confirm_20260808/ias_b/gru/seed42/result.json,isrgru_pos_fix_20260808/ias_b/isrgru/seed42/result.json,results/ias_b/isrgru_norm/seed42/result.json,231041,0.19110344350337982,0.1965184211730957,normalized,e27e76b9b8f940709438bc0c79623201c039349775b400e99a920b8e19cb3c3e
ias_b,gru,gru,isrgru,isrgru_norm,123,23.4647,23.0597,22.6198,-0.405,-0.8449,0.4399,transg_official_ias_confirm_20260808/ias_b/gru/seed123/result.json,isrgru_pos_fix_20260808/ias_b/isrgru/seed123/result.json,results/ias_b/isrgru_norm/seed123/result.json,231041,0.19592523574829102,0.198465034365654,normalized,e27e76b9b8f940709438bc0c79623201c039349775b400e99a920b8e19cb3c3e
ias_b,gru,gru,isrgru,isrgru_norm,2026,22.9847,23.1788,22.923,0.194,-0.0617,0.2557,transg_official_ias_confirm_20260808/ias_b/gru/seed2026/result.json,isrgru_pos_fix_20260808/ias_b/isrgru/seed2026/result.json,results/ias_b/isrgru_norm/seed2026/result.json,231041,0.19240480661392212,0.19546428322792053,normalized,e27e76b9b8f940709438bc0c79623201c039349775b400e99a920b8e19cb3c3e
ias_b,transformer,transformer,isr_transformer,isr_transformer_norm,42,27.0176,27.6348,27.2703,0.6171,0.2527,0.3645,isr_transfer_pilot_20260805/ias_b_transformer_42/result.json,isr_transfer_pilot_20260805/ias_b_isr_transformer_42/result.json,results/ias_b/isr_transformer_norm/seed42/result.json,298113,0.18501430749893188,0.18908023834228516,normalized,e27e76b9b8f940709438bc0c79623201c039349775b400e99a920b8e19cb3c3e
ias_b,transformer,transformer,isr_transformer,isr_transformer_norm,123,27.994,27.3892,27.0485,-0.6047,-0.9454,0.3407,isr_transfer_pilot_20260805/ias_b_transformer_123/result.json,isr_transfer_pilot_20260805/ias_b_isr_transformer_123/result.json,results/ias_b/isr_transformer_norm/seed123/result.json,298113,0.19416645169258118,0.1910741776227951,normalized,e27e76b9b8f940709438bc0c79623201c039349775b400e99a920b8e19cb3c3e
ias_b,transformer,transformer,isr_transformer,isr_transformer_norm,2026,26.7558,27.238,26.639,0.4822,-0.1168,0.5991,isr_transfer_pilot_20260805/ias_b_transformer_2026/result.json,isr_transfer_pilot_20260805/ias_b_isr_transformer_2026/result.json,results/ias_b/isr_transformer_norm/seed2026/result.json,298113,0.1885853409767151,0.1922263652086258,normalized,e27e76b9b8f940709438bc0c79623201c039349775b400e99a920b8e19cb3c3e
kgbd,gru,gru,isrgru,isrgru_norm,42,16.2623,17.1147,16.3161,0.8524,0.0538,0.7987,transg_official_kgbd_confirm_20260808/gru/seed42/result.json,isrgru_pos_fix_20260808/kgbd/isrgru/seed42/result.json,results/kgbd/isrgru_norm/seed42/result.json,231041,0.20247095823287964,0.21688346564769745,normalized,373aa182ad2ddc988567509c4b2eb549035a552d887dfef4ed892c2e3a0887a0
kgbd,gru,gru,isrgru,isrgru_norm,123,16.3268,17.1651,16.2977,0.8383,-0.0291,0.8674,transg_official_kgbd_confirm_20260808/gru/seed123/result.json,isrgru_pos_fix_20260808/kgbd/isrgru/seed123/result.json,results/kgbd/isrgru_norm/seed123/result.json,231041,0.21031354367733002,0.22192956507205963,normalized,373aa182ad2ddc988567509c4b2eb549035a552d887dfef4ed892c2e3a0887a0
kgbd,gru,gru,isrgru,isrgru_norm,2026,16.4788,16.7753,15.9734,0.2965,-0.5054,0.8019,transg_official_kgbd_confirm_20260808/gru/seed2026/result.json,isrgru_pos_fix_20260808/kgbd/isrgru/seed2026/result.json,results/kgbd/isrgru_norm/seed2026/result.json,231041,0.2106602042913437,0.22197304666042328,normalized,373aa182ad2ddc988567509c4b2eb549035a552d887dfef4ed892c2e3a0887a0
kgbd,transformer,transformer,isr_transformer,isr_transformer_norm,42,23.1317,24.6321,23.3695,1.5004,0.2377,1.2627,isr_transfer_pilot_20260805/transformer_42/result.json,isr_transfer_pilot_20260805/isr_transformer_42/result.json,results/kgbd/isr_transformer_norm/seed42/result.json,298113,0.18818102777004242,0.20770931243896484,normalized,373aa182ad2ddc988567509c4b2eb549035a552d887dfef4ed892c2e3a0887a0
kgbd,transformer,transformer,isr_transformer,isr_transformer_norm,123,23.2588,24.1479,23.3704,0.8891,0.1116,0.7775,isr_transfer_pilot_20260805/transformer_123/result.json,isr_transfer_pilot_20260805/isr_transformer_123/result.json,results/kgbd/isr_transformer_norm/seed123/result.json,298113,0.1993674337863922,0.21046249568462372,normalized,373aa182ad2ddc988567509c4b2eb549035a552d887dfef4ed892c2e3a0887a0
kgbd,transformer,transformer,isr_transformer,isr_transformer_norm,2026,23.335,24.0599,23.3355,0.7249,0.0005,0.7245,isr_transfer_pilot_20260805/transformer_2026/result.json,isr_transfer_pilot_20260805/isr_transformer_2026/result.json,results/kgbd/isr_transformer_norm/seed2026/result.json,298113,0.1952166110277176,0.20778629183769226,normalized,373aa182ad2ddc988567509c4b2eb549035a552d887dfef4ed892c2e3a0887a0
kgbd_dedup,gru,gru,isrgru,isrgru_norm,42,16.1786,16.996,16.2181,0.8174,0.0394,0.778,kgbd_dedup_20260806/confirm_train_removal/gru_42/result.json,isrgru_pos_fix_20260808/kgbd_dedup/isrgru/seed42/result.json,results/kgbd_dedup/isrgru_norm/seed42/result.json,231041,0.2020670473575592,0.21691542863845825,normalized,32fbc0c0a33903381b3f0df63155ef260985f95d013f8e9cd2000878f659db70
kgbd_dedup,gru,gru,isrgru,isrgru_norm,123,16.283,17.0897,16.2353,0.8067,-0.0477,0.8544,kgbd_dedup_20260806/confirm_train_removal/gru_123/result.json,isrgru_pos_fix_20260808/kgbd_dedup/isrgru/seed123/result.json,results/kgbd_dedup/isrgru_norm/seed123/result.json,231041,0.21036472916603088,0.2220192700624466,normalized,32fbc0c0a33903381b3f0df63155ef260985f95d013f8e9cd2000878f659db70
kgbd_dedup,gru,gru,isrgru,isrgru_norm,2026,16.3622,16.6308,15.8536,0.2686,-0.5086,0.7772,kgbd_dedup_20260806/confirm_train_removal/gru_2026/result.json,isrgru_pos_fix_20260808/kgbd_dedup/isrgru/seed2026/result.json,results/kgbd_dedup/isrgru_norm/seed2026/result.json,231041,0.21082472801208496,0.22199305891990662,normalized,32fbc0c0a33903381b3f0df63155ef260985f95d013f8e9cd2000878f659db70
kgbd_dedup,transformer,transformer,isr_transformer,isr_transformer_norm,42,22.8517,24.4084,23.1471,1.5568,0.2954,1.2613,kgbd_dedup_20260806/confirm_train_removal/transformer_42/result.json,kgbd_dedup_20260806/confirm_train_removal/isr_transformer_42/result.json,results/kgbd_dedup/isr_transformer_norm/seed42/result.json,298113,0.18817836046218872,0.20770663022994995,normalized,32fbc0c0a33903381b3f0df63155ef260985f95d013f8e9cd2000878f659db70
kgbd_dedup,transformer,transformer,isr_transformer,isr_transformer_norm,123,23.087,24.1179,23.333,1.0309,0.246,0.7849,kgbd_dedup_20260806/confirm_train_removal/transformer_123/result.json,kgbd_dedup_20260806/confirm_train_removal/isr_transformer_123/result.json,results/kgbd_dedup/isr_transformer_norm/seed123/result.json,298113,0.19956877827644348,0.21052995324134827,normalized,32fbc0c0a33903381b3f0df63155ef260985f95d013f8e9cd2000878f659db70
kgbd_dedup,transformer,transformer,isr_transformer,isr_transformer_norm,2026,23.1686,23.8492,23.1076,0.6806,-0.061,0.7415,kgbd_dedup_20260806/confirm_train_removal/transformer_2026/result.json,kgbd_dedup_20260806/confirm_train_removal/isr_transformer_2026/result.json,results/kgbd_dedup/isr_transformer_norm/seed2026/result.json,298113,0.19525212049484253,0.20778557658195496,normalized,32fbc0c0a33903381b3f0df63155ef260985f95d013f8e9cd2000878f659db70
