protocol,arm,model,seed,mAP,path
biwi_w,absolute,isrgru,42,26.2218,isrgru_pos_fix_20260808/biwi_w/isrgru/seed42/result.json
biwi_w,absolute,isr_transformer,42,20.5886,isr_transfer_pilot_20260805/biwi_w_isr_transformer_42/result.json
biwi_w,absolute,isrgru,123,25.7197,isrgru_pos_fix_20260808/biwi_w/isrgru/seed123/result.json
biwi_w,absolute,isr_transformer,123,21.5976,isr_transfer_pilot_20260805/biwi_w_isr_transformer_123/result.json
biwi_w,absolute,isrgru,2026,23.9727,isrgru_pos_fix_20260808/biwi_w/isrgru/seed2026/result.json
biwi_w,absolute,isr_transformer,2026,22.9666,isr_transfer_pilot_20260805/biwi_w_isr_transformer_2026/result.json
biwi_w,absolute,isrgru,2027,25.1193,biwi_w/isrgru/seed2027/result.json
biwi_w,absolute,isr_transformer,2027,22.1850,biwi_w/isr_transformer/seed2027/result.json
biwi_w,absolute,isrgru,2028,25.8747,biwi_w/isrgru/seed2028/result.json
biwi_w,absolute,isr_transformer,2028,21.2511,biwi_w/isr_transformer/seed2028/result.json
biwi_w,normalized,isrgru_norm,42,24.6987,biwi_w/isrgru_norm/seed42/result.json
biwi_w,normalized,isr_transformer_norm,42,20.3280,biwi_w/isr_transformer_norm/seed42/result.json
biwi_w,normalized,isrgru_norm,123,24.0187,biwi_w/isrgru_norm/seed123/result.json
biwi_w,normalized,isr_transformer_norm,123,20.8411,biwi_w/isr_transformer_norm/seed123/result.json
biwi_w,normalized,isrgru_norm,2026,22.5924,biwi_w/isrgru_norm/seed2026/result.json
biwi_w,normalized,isr_transformer_norm,2026,22.0597,biwi_w/isr_transformer_norm/seed2026/result.json
biwi_w,normalized,isrgru_norm,2027,23.6146,biwi_w/isrgru_norm/seed2027/result.json
biwi_w,normalized,isr_transformer_norm,2027,21.2535,biwi_w/isr_transformer_norm/seed2027/result.json
biwi_w,normalized,isrgru_norm,2028,24.0770,biwi_w/isrgru_norm/seed2028/result.json
biwi_w,normalized,isr_transformer_norm,2028,21.4884,biwi_w/isr_transformer_norm/seed2028/result.json
biwi_w,norm_matched,isrgru_normmatch,42,22.8798,biwi_w/isrgru_normmatch/seed42/result.json
biwi_w,norm_matched,isr_transformer_normmatch,42,19.9477,biwi_w/isr_transformer_normmatch/seed42/result.json
biwi_w,norm_matched,isrgru_normmatch,123,23.4822,biwi_w/isrgru_normmatch/seed123/result.json
biwi_w,norm_matched,isr_transformer_normmatch,123,19.0513,biwi_w/isr_transformer_normmatch/seed123/result.json
biwi_w,norm_matched,isrgru_normmatch,2026,23.3652,biwi_w/isrgru_normmatch/seed2026/result.json
biwi_w,norm_matched,isr_transformer_normmatch,2026,21.4124,biwi_w/isr_transformer_normmatch/seed2026/result.json
biwi_w,norm_matched,isrgru_normmatch,2027,23.2409,biwi_w/isrgru_normmatch/seed2027/result.json
biwi_w,norm_matched,isr_transformer_normmatch,2027,21.9410,biwi_w/isr_transformer_normmatch/seed2027/result.json
biwi_w,norm_matched,isrgru_normmatch,2028,23.9499,biwi_w/isrgru_normmatch/seed2028/result.json
biwi_w,norm_matched,isr_transformer_normmatch,2028,22.8382,biwi_w/isr_transformer_normmatch/seed2028/result.json
biwi_w,random_matched,isrgru_randommatch,42,24.5839,biwi_w/isrgru_randommatch/seed42/result.json
