protocol,backbone,seed,mAP_base_pp,mAP_abs_pp,mAP_norm_pp,mAP_normmatch_pp,mAP_random_pp,d_abs_pp,d_norm_pp,d_normmatch_pp,d_random_pp,d_abs_vs_normmatch_pp,d_abs_vs_random_pp,normmatch_factor,normmatch_gate,random_gate,normmatch_rtype,random_rtype,normmatch_config_sha,random_config_sha,base_path,abs_path,norm_path,normmatch_path,random_path
biwi_w,transformer,123,19.5705,21.5976,20.8411,19.0513,21.1815,2.0271,1.2706,-0.5192,1.611,2.5462,0.416,0.21329468488693237,0.194065123796463,0.10922983288764954,norm_matched,random_matched,1deaf43faceaf6527e0803c33bee3a9eba0d564b71137c8df99af0fc921f31b9,1deaf43faceaf6527e0803c33bee3a9eba0d564b71137c8df99af0fc921f31b9,transg_official_biwi_layoutfix_20260808/biwi_w/transformer/seed123/result.json,isr_transfer_pilot_20260805/biwi_w_isr_transformer_123/result.json,frame_norm_residual_20260812/results/biwi_w/isr_transformer_norm/seed123/result.json,frame_scale_controls_20260813/results/biwi_w/isr_transformer_normmatch/seed123/result.json,frame_scale_controls_20260813/results/biwi_w/isr_transformer_randommatch/seed123/result.json
biwi_w,transformer,2026,19.993,22.9666,22.0597,21.4124,22.0353,2.9736,2.0667,1.4194,2.0423,1.5542,0.9313,0.21329468488693237,0.19271107017993927,0.10870081186294556,norm_matched,random_matched,1deaf43faceaf6527e0803c33bee3a9eba0d564b71137c8df99af0fc921f31b9,1deaf43faceaf6527e0803c33bee3a9eba0d564b71137c8df99af0fc921f31b9,transg_official_biwi_layoutfix_20260808/biwi_w/transformer/seed2026/result.json,isr_transfer_pilot_20260805/biwi_w_isr_transformer_2026/result.json,frame_norm_residual_20260812/results/biwi_w/isr_transformer_norm/seed2026/result.json,frame_scale_controls_20260813/results/biwi_w/isr_transformer_normmatch/seed2026/result.json,frame_scale_controls_20260813/results/biwi_w/isr_transformer_randommatch/seed2026/result.json
ias_a,gru,42,23.107,23.942,23.8659,23.7796,23.6884,0.835,0.7588,0.6726,0.5814,0.1623,0.2536,0.2536046802997589,0.19204404950141907,0.14382141828536987,norm_matched,random_matched,2ab88ec4ca87f5663f07fe58480d622a4798850f4011fe817740e3004c235cda,2ab88ec4ca87f5663f07fe58480d622a4798850f4011fe817740e3004c235cda,transg_official_ias_confirm_20260808/ias_a/gru/seed42/result.json,isrgru_pos_fix_20260808/ias_a/isrgru/seed42/result.json,frame_norm_residual_20260812/results/ias_a/isrgru_norm/seed42/result.json,frame_scale_controls_20260813/results/ias_a/isrgru_normmatch/seed42/result.json,frame_scale_controls_20260813/results/ias_a/isrgru_randommatch/seed42/result.json
ias_a,gru,123,24.1655,23.7784,23.36,24.0879,23.232,-0.3871,-0.8054,-0.0776,-0.9334,-0.3095,0.5464,0.2536046802997589,0.19430945813655853,0.14425890147686005,norm_matched,random_matched,2ab88ec4ca87f5663f07fe58480d622a4798850f4011fe817740e3004c235cda,2ab88ec4ca87f5663f07fe58480d622a4798850f4011fe817740e3004c235cda,transg_official_ias_confirm_20260808/ias_a/gru/seed123/result.json,isrgru_pos_fix_20260808/ias_a/isrgru/seed123/result.json,frame_norm_residual_20260812/results/ias_a/isrgru_norm/seed123/result.json,frame_scale_controls_20260813/results/ias_a/isrgru_normmatch/seed123/result.json,frame_scale_controls_20260813/results/ias_a/isrgru_randommatch/seed123/result.json
ias_a,gru,2026,23.5315,23.7399,23.615,23.8938,23.4731,0.2084,0.0835,0.3623,-0.0584,-0.1539,0.2668,0.2536046802997589,0.1942826509475708,0.14331457018852234,norm_matched,random_matched,2ab88ec4ca87f5663f07fe58480d622a4798850f4011fe817740e3004c235cda,2ab88ec4ca87f5663f07fe58480d622a4798850f4011fe817740e3004c235cda,transg_official_ias_confirm_20260808/ias_a/gru/seed2026/result.json,isrgru_pos_fix_20260808/ias_a/isrgru/seed2026/result.json,frame_norm_residual_20260812/results/ias_a/isrgru_norm/seed2026/result.json,frame_scale_controls_20260813/results/ias_a/isrgru_normmatch/seed2026/result.json,frame_scale_controls_20260813/results/ias_a/isrgru_randommatch/seed2026/result.json
ias_a,transformer,42,27.392,28.7,27.9285,28.8257,28.3963,1.308,0.5365,1.4337,1.0043,-0.1257,0.3037,0.2536046802997589,0.1865004301071167,0.14538772404193878,norm_matched,random_matched,2ab88ec4ca87f5663f07fe58480d622a4798850f4011fe817740e3004c235cda,2ab88ec4ca87f5663f07fe58480d622a4798850f4011fe817740e3004c235cda,isr_transfer_pilot_20260805/ias_a_transformer_42/result.json,isr_transfer_pilot_20260805/ias_a_isr_transformer_42/result.json,frame_norm_residual_20260812/results/ias_a/isr_transformer_norm/seed42/result.json,frame_scale_controls_20260813/results/ias_a/isr_transformer_normmatch/seed42/result.json,frame_scale_controls_20260813/results/ias_a/isr_transformer_randommatch/seed42/result.json
ias_a,transformer,123,29.7117,28.8627,28.6088,28.6492,28.3111,-0.849,-1.1029,-1.0626,-1.4006,0.2135,0.5516,0.2536046802997589,0.19577832520008087,0.14346744120121002,norm_matched,random_matched,2ab88ec4ca87f5663f07fe58480d622a4798850f4011fe817740e3004c235cda,2ab88ec4ca87f5663f07fe58480d622a4798850f4011fe817740e3004c235cda,isr_transfer_pilot_20260805/ias_a_transformer_123/result.json,isr_transfer_pilot_20260805/ias_a_isr_transformer_123/result.json,frame_norm_residual_20260812/results/ias_a/isr_transformer_norm/seed123/result.json,frame_scale_controls_20260813/results/ias_a/isr_transformer_normmatch/seed123/result.json,frame_scale_controls_20260813/results/ias_a/isr_transformer_randommatch/seed123/result.json
ias_a,transformer,2026,27.3572,28.1775,27.7712,29.2997,27.3688,0.8203,0.414,1.9425,0.0116,-1.1222,0.8088,0.2536046802997589,0.19072453677654266,0.14322277903556824,norm_matched,random_matched,2ab88ec4ca87f5663f07fe58480d622a4798850f4011fe817740e3004c235cda,2ab88ec4ca87f5663f07fe58480d622a4798850f4011fe817740e3004c235cda,isr_transfer_pilot_20260805/ias_a_transformer_2026/result.json,isr_transfer_pilot_20260805/ias_a_isr_transformer_2026/result.json,frame_norm_residual_20260812/results/ias_a/isr_transformer_norm/seed2026/result.json,frame_scale_controls_20260813/results/ias_a/isr_transformer_normmatch/seed2026/result.json,frame_scale_controls_20260813/results/ias_a/isr_transformer_randommatch/seed2026/result.json
ias_b,gru,42,22.3858,23.0953,22.8581,22.6027,22.7122,0.7096,0.4724,0.2169,0.3264,0.4927,0.3832,0.2536046802997589,0.19204404950141907,0.14382141828536987,norm_matched,random_matched,e27e76b9b8f940709438bc0c79623201c039349775b400e99a920b8e19cb3c3e,e27e76b9b8f940709438bc0c79623201c039349775b400e99a920b8e19cb3c3e,transg_official_ias_confirm_20260808/ias_b/gru/seed42/result.json,isrgru_pos_fix_20260808/ias_b/isrgru/seed42/result.json,frame_norm_residual_20260812/results/ias_b/isrgru_norm/seed42/result.json,frame_scale_controls_20260813/results/ias_b/isrgru_normmatch/seed42/result.json,frame_scale_controls_20260813/results/ias_b/isrgru_randommatch/seed42/result.json
ias_b,gru,123,23.4647,23.0597,22.6198,23.142,22.57,-0.405,-0.8449,-0.3227,-0.8947,-0.0823,0.4897,0.2536046802997589,0.19430945813655853,0.14425890147686005,norm_matched,random_matched,e27e76b9b8f940709438bc0c79623201c039349775b400e99a920b8e19cb3c3e,e27e76b9b8f940709438bc0c79623201c039349775b400e99a920b8e19cb3c3e,transg_official_ias_confirm_20260808/ias_b/gru/seed123/result.json,isrgru_pos_fix_20260808/ias_b/isrgru/seed123/result.json,frame_norm_residual_20260812/results/ias_b/isrgru_norm/seed123/result.json,frame_scale_controls_20260813/results/ias_b/isrgru_normmatch/seed123/result.json,frame_scale_controls_20260813/results/ias_b/isrgru_randommatch/seed123/result.json
ias_b,gru,2026,22.9847,23.1788,22.923,23.0849,22.8715,0.194,-0.0617,0.1001,-0.1132,0.0939,0.3073,0.2536046802997589,0.1942826509475708,0.14331457018852234,norm_matched,random_matched,e27e76b9b8f940709438bc0c79623201c039349775b400e99a920b8e19cb3c3e,e27e76b9b8f940709438bc0c79623201c039349775b400e99a920b8e19cb3c3e,transg_official_ias_confirm_20260808/ias_b/gru/seed2026/result.json,isrgru_pos_fix_20260808/ias_b/isrgru/seed2026/result.json,frame_norm_residual_20260812/results/ias_b/isrgru_norm/seed2026/result.json,frame_scale_controls_20260813/results/ias_b/isrgru_normmatch/seed2026/result.json,frame_scale_controls_20260813/results/ias_b/isrgru_randommatch/seed2026/result.json
